id,building,room_number,category,name,capacity,available_capacity_pct,academic_period,has_schedule,status,total_courses,total_allocations
1008508,UNKNOWN,1008508,OUTRO,ESPACO_1008508,0,0,2026/2,False,no_schedule,0,0
1008509,DID 1,009,SALA DE AULA,SALA DE AULA - DID 1 - 009,30,24,2026/2,True,active,25,64
1008510,DID 1,014,LABORATORIO,DCC - LAB. DE CONTABILIDADE - DID 1 - 014,25,20,2026/2,True,active,1,8
1008511,DID 1,011,SALA DE AULA,SALA DE AULA - DID 1 - 011,40,32,2026/2,True,active,29,68
1008512,DID 1,013,SALA DE AULA,SALA DE AULA - DID 1 - 013,45,36,2026/2,True,active,27,71
1008513,DID 1,102,SALA DE AULA,SALA DE AULA - DID 1 - 102,40,32,2026/2,True,active,33,101
1008514,DID 1,104,SALA DE AULA,SALA DE AULA - DID 1 - 104,40,32,2026/2,True,active,27,85
1008515,DID 1,106,SALA DE AULA,SALA DE AULA - DID 1 - 106,30,24,2026/2,True,active,32,89
1008516,DID 1,101,SALA DE AULA,SALA DE AULA - DID 1 - 101,40,32,2026/2,True,active,40,94
1008517,DID 1,108,SALA DE AULA,SALA DE AULA - DID 1 - 108,40,32,2026/2,True,active,18,54
1008518,DID 1,103,SALA DE AULA,SALA DE AULA - DID 1 - 103,45,36,2026/2,True,active,19,47
1008519,DID 1,110,SALA DE AULA,SALA DE AULA - DID 1 - 110,30,24,2026/2,True,active,17,40
1008520,DID 1,105,SALA DE AULA,SALA DE AULA - DID 1 - 105,30,24,2026/2,True,active,29,78
1008521,DID 1,112,SALA DE AULA,SALA DE AULA - DID 1 - 112,30,24,2026/2,True,active,1,4
1008522,DID 1,107,SALA DE AULA,SALA DE AULA - DID 1 - 107,40,32,2026/2,True,active,25,69
1008523,UNKNOWN,1008523,OUTRO,ESPACO_1008523,0,0,2026/2,False,no_schedule,0,0
1008524,DID 1,109,SALA DE AULA,SALA DE AULA - DID 1 - 109,30,24,2026/2,True,active,34,82
1008525,UNKNOWN,1008525,OUTRO,ESPACO_1008525,40,32,2026/2,False,no_schedule,0,0
1008526,UNKNOWN,1008526,OUTRO,ESPACO_1008526,45,36,2026/2,False,no_schedule,0,0
1008527,DID 2,011,OUTRO,SALA DE PRANCHETAS DID 2 - 011,35,28,2026/2,True,active,1,4
1008528,DID 2,013,LABORATORIO,DGE - LAB GEOGRAFIA REPRESENTAÇÃO DA TERRA - DID 2 - 013,70,56,2026/2,True,active,3,12
1008529,DID 2,020,OUTRO,DFT - AULAS PRÁTICAS - DID 2 - 020,30,24,2026/2,True,active,2,4
1008530,UNKNOWN,1008530,OUTRO,ESPACO_1008530,0,0,2026/2,False,no_schedule,0,0
1008531,DID 3,002,SALA DE AULA,SALA DE AULA - DID 3 - 002,70,56,2026/2,True,active,18,66
1008532,UNKNOWN,1008532,OUTRO,ESPACO_1008532,0,0,2026/2,False,no_schedule,0,0
1008533,DID 3,004,SALA DE AULA,SALA DE AULA - DID 3 - 004,35,28,2026/2,True,active,23,63
1008534,DID 3,005,SALA DE AULA,SALA DE AULA - DID 3 - 005,20,16,2026/2,True,active,22,58
1008535,DID 3,006,SALA DE AULA,SALA DE AULA - DID 3 - 006,35,28,2026/2,True,active,23,66
1008536,DID 3,007,SALA DE AULA,SALA DE AULA - DID 3 - 007,20,16,2026/2,True,active,22,62
1008537,DID 3,008,SALA DE AULA,SALA DE AULA - DID 3 - 008,20,16,2026/2,True,active,29,76
1008538,DID 3,009,SALA DE AULA,SALA DE AULA - DID 3 - 009,20,16,2026/2,True,active,23,64
1008539,DID 3,010,SALA DE AULA,SALA DE AULA - DID 3 - 010,20,16,2026/2,True,active,22,56
1008540,DID 3,011,OUTRO,SALA DE PRANCHETAS DID 3 - 011,40,32,2026/2,True,active,4,16
1008541,UNKNOWN,1008541,OUTRO,ESPACO_1008541,0,0,2026/2,False,no_schedule,0,0
1008542,UNKNOWN,1008542,OUTRO,ESPACO_1008542,60,48,2026/2,False,no_schedule,0,0
1008543,DID 3,014,SALA DE AULA,SALA DE AULA - DID 3 - 014,20,16,2026/2,True,active,19,46
1008544,DID 3,016,SALA DE AULA,SALA DE AULA - DID 3 - 016,35,28,2026/2,True,active,21,67
1008545,DID 3,018,SALA DE AULA,SALA DE AULA - DID 3 - 018,35,28,2026/2,True,active,23,54
1008546,DID 3,020,SALA DE AULA,SALA DE AULA - DID 3 - 020,70,56,2026/2,True,active,24,68
1008547,UNKNOWN,1008547,OUTRO,ESPACO_1008547,0,0,2026/2,False,no_schedule,0,0
1008548,DID 3,101,SALA DE AULA,SALA DE AULA - DID 3 - 101,56,44,2026/2,True,active,16,48
1008549,DID 3,104,SALA DE AULA,SALA DE AULA - DID 3 - 104,56,44,2026/2,True,active,14,48
1008550,DID 3,103,SALA DE AULA,SALA DE AULA - DID 3 - 103,56,44,2026/2,True,active,18,46
1008551,DID 3,106,SALA DE AULA,SALA DE AULA - DID 3 - 106,56,44,2026/2,True,active,16,38
1008552,DID 3,105,SALA DE AULA,SALA DE AULA - DID 3 - 105,55,44,2026/2,True,active,15,48
1008553,UNKNOWN,1008553,OUTRO,ESPACO_1008553,0,0,2026/2,False,no_schedule,0,0
1008554,UNKNOWN,1008554,OUTRO,ESPACO_1008554,0,0,2026/2,False,no_schedule,0,0
1008555,UNKNOWN,1008555,OUTRO,ESPACO_1008555,0,0,2026/2,False,no_schedule,0,0
1008556,UNKNOWN,1008556,OUTRO,ESPACO_1008556,0,0,2026/2,False,no_schedule,0,0
1008557,DID 3,112,SALA DE AULA,SALA DE AULA - DID 3 - 112,56,44,2026/2,True,active,15,44
1008558,DID 3,111,SALA DE AULA,SALA DE AULA - DID 3 - 111,56,44,2026/2,True,active,7,20
1008559,DID 3,114,SALA DE AULA,SALA DE AULA - DID 3 - 114,50,40,2026/2,True,active,25,72
1008560,DID 3,113,SALA DE AULA,SALA DE AULA - DID 3 - 113,56,44,2026/2,True,active,9,25
1008561,DID 3,116,SALA DE AULA,SALA DE AULA - DID 3 - 116,56,44,2026/2,True,active,3,10
1008562,DID 3,115,SALA DE AULA,SALA DE AULA - DID 3 - 115,55,44,2026/2,True,active,13,36
1008563,DID 4,001,SALA DE AULA,SALA DE AULA - DID 4 - 001,72,57,2026/2,True,active,20,58
1008564,DID 4,002,SALA DE AULA,SALA DE AULA - DID 4 - 002,72,57,2026/2,True,active,19,57
1008565,DID 4,003,SALA DE AULA,SALA DE AULA - DID 4 - 003,72,57,2026/2,True,active,20,54
1008566,DID 4,004,SALA DE AULA,SALA DE AULA - DID 4 - 004,30,24,2026/2,True,active,28,74
1008567,DID 4,005,SALA DE AULA,SALA DE AULA - DID 4 - 005,48,38,2026/2,True,active,25,80
1008568,DID 4,006,SALA DE AULA,SALA DE AULA - DID 4 - 006,30,24,2026/2,True,active,27,78
1008569,DID 4,007,SALA DE AULA,SALA DE AULA - DID 4 - 007,48,38,2026/2,True,active,27,69
1008570,DID 4,008,SALA DE AULA,SALA DE AULA - DID 4 - 008,48,38,2026/2,True,active,26,68
1008571,DID 4,009,SALA DE AULA,SALA DE AULA - DID 4 - 009,72,57,2026/2,True,active,14,46
1008572,DID 4,010,SALA DE AULA,SALA DE AULA - DID 4 - 010,48,38,2026/2,True,active,23,56
1008573,DID 4,011,OUTRO,SALA DE DESENHO            DID 4 - 011,50,40,2026/2,True,active,11,34
1008574,DID 4,012,SALA DE AULA,SALA DE AULA - DID 4 - 012,30,24,2026/2,True,active,22,60
1008575,DID 4,014,OUTRO,SALA DE DESENHO              DID 4 - 014,25,20,2026/2,True,active,21,62
1008576,DID 4,016,OUTRO,SALA DE DESENHO              DID 4 - 016,60,48,2026/2,True,active,19,62
1008577,DID 4,102,SALA DE AULA,SALA DE AULA - DID 4 - 102,48,38,2026/2,True,active,21,74
1008578,DID 4,101,SALA DE AULA,SALA DE AULA - DID 4 - 101,50,40,2026/2,True,active,24,78
1008579,DID 4,104,SALA DE AULA,SALA DE AULA - DID 4 - 104,70,56,2026/2,True,active,18,66
1008580,DID 4,103,SALA DE AULA,SALA DE AULA - DID 4 - 103,60,48,2026/2,True,active,23,80
1008581,DID 4,106,SALA DE AULA,SALA DE AULA - DID 4 - 106,20,16,2026/2,True,active,3,19
1008582,DID 4,105,SALA DE AULA,SALA DE AULA - DID 4 - 105,20,16,2026/2,True,active,3,12
1008583,DID 4,108,SALA DE AULA,SALA DE AULA - DID 4 - 108,21,16,2026/2,True,active,33,78
1008584,DID 4,107,SALA DE AULA,SALA DE AULA - DID 4 - 107,21,16,2026/2,True,active,23,67
1008585,DID 4,110,SALA DE AULA,SALA DE AULA - DID 4 - 110,50,40,2026/2,True,active,29,74
1008586,DID 4,109,SALA DE AULA,SALA DE AULA - DID 4 - 109,50,40,2026/2,True,active,28,70
1008587,DID 4,112,SALA DE AULA,SALA DE AULA - DID 4 - 112,50,40,2026/2,True,active,18,56
1008588,DID 4,111,SALA DE AULA,SALA DE AULA - DID 4 - 111,50,40,2026/2,True,active,25,67
1008589,DID 4,114,SALA DE AULA,SALA DE AULA - DID 4 - 114,50,40,2026/2,True,active,21,52
1008590,DID 4,113,SALA DE AULA,SALA DE AULA - DID 4 - 113,50,40,2026/2,True,active,14,42
1008591,DID 5,001,SALA DE AULA,SALA DE AULA  - DID 5 - 001,50,40,2026/2,True,active,26,76
1008592,DID 5,002,SALA DE AULA,SALA DE AULA - DID 5 - 002,50,40,2026/2,True,active,22,72
1008593,DID 5,003,SALA DE AULA,SALA DE AULA - DID 5 - 003,50,40,2026/2,True,active,26,76
1008594,DID 5,004,SALA DE AULA,SALA DE AULA - DID 5 - 004,50,40,2026/2,True,active,30,80
1008595,DID 5,005,SALA DE AULA,SALA DE AULA - DID 5 - 005,50,40,2026/2,True,active,25,72
1008596,DID 5,006,SALA DE AULA,SALA DE AULA - DID 5 - 006,50,40,2026/2,True,active,22,62
1008597,DID 5,007,SALA DE AULA,SALA DE AULA - DID 5 - 007,50,40,2026/2,True,active,22,67
1008598,DID 5,008,SALA DE AULA,SALA DE AULA - DID 5 - 008,50,40,2026/2,True,active,24,66
1008599,DID 5,009,SALA DE AULA,SALA DE AULA - DID 5 - 009,50,40,2026/2,True,active,25,68
1008600,DID 5,010,SALA DE AULA,SALA DE AULA - DID 5 - 010,50,40,2026/2,True,active,24,70
1008601,DID 5,011,SALA DE AULA,SALA DE AULA - DID 5 - 011,50,40,2026/2,True,active,27,80
1008602,DID 5,012,SALA DE AULA,SALA DE AULA - DID 5 - 012,50,40,2026/2,True,active,23,59
1008603,DID 5,013,SALA DE AULA,SALA DE AULA - DID 5 - 013,50,40,2026/2,True,active,23,59
1008604,DID 5,014,SALA DE AULA,SALA DE AULA - DID 5 - 014,50,40,2026/2,True,active,23,64
1008605,DID 5,015,SALA DE AULA,SALA DE AULA - DID 5 - 015,50,40,2026/2,True,active,25,57
1008606,DID 5,016,SALA DE AULA,SALA DE AULA - DID 5 - 016,50,40,2026/2,True,active,18,50
1008607,DID 5,017,SALA DE AULA,SALA DE AULA - DID 5 - 017,50,40,2026/2,True,active,18,54
1008608,DID 5,018,SALA DE AULA,SALA DE AULA - DID 5 - 018,50,40,2026/2,True,active,23,60
1008609,DID 5,101,SALA DE AULA,SALA DE AULA - DID 5 - 101,100,80,2026/2,True,active,5,28
1008610,DID 5,103,SALA DE AULA,SALA DE AULA - DID 5 - 103,100,80,2026/2,True,active,3,8
1008611,DID 5,105,SALA DE AULA,SALA DE AULA - DID 5 - 105,50,40,2026/2,True,active,20,46
1008612,DID 5,107,SALA DE AULA,SALA DE AULA - DID 5 - 107,50,40,2026/2,True,active,27,80
1008613,DID 5,109,SALA DE AULA,SALA DE AULA - DID 5 - 109,50,40,2026/2,True,active,17,50
1008614,DID 5,111,SALA DE AULA,SALA DE AULA - DID 5 - 111,50,40,2026/2,True,active,19,46
1008615,DID 5,113,SALA DE AULA,SALA DE AULA - DID 5 - 113,50,40,2026/2,True,active,20,50
1008616,DID 5,112,SALA DE AULA,SALA DE AULA - DID 5 - 112,50,40,2026/2,True,active,17,45
1008617,DID 5,110,SALA DE AULA,SALA DE AULA - DID 5 - 110,50,40,2026/2,True,active,17,48
1008618,DID 5,108,SALA DE AULA,SALA DE AULA - DID 5 - 108,50,40,2026/2,True,active,14,42
1008619,UNKNOWN,1008619,OUTRO,ESPACO_1008619,0,0,2026/2,False,no_schedule,0,0
1008620,DID 5,104,SALA DE AULA,SALA DE AULA - DID 5 - 104,80,64,2026/2,True,active,11,36
1008621,DID 5,102,SALA DE AULA,SALA DE AULA - DID 5 - 102,80,64,2026/2,True,active,21,54
1008622,UNKNOWN,1008622,OUTRO,ESPACO_1008622,0,0,2026/2,False,no_schedule,0,0
1008623,DID 6,002,SALA DE AULA,SALA DE AULA - DID 6 - 002,50,40,2026/2,True,active,22,62
1008624,DID 6,003,SALA DE AULA,SALA DE AULA - DID 6 - 003,50,40,2026/2,True,active,24,69
1008625,DID 6,004,SALA DE AULA,SALA DE AULA - DID 6 - 004,50,40,2026/2,True,active,17,57
1008626,DID 6,005,SALA DE AULA,SALA DE AULA - DID 6 - 005,0,0,2026/2,True,active,3,8
1008627,DID 6,006,SALA DE AULA,SALA DE AULA - DID 6 - 006,50,40,2026/2,True,active,19,53
1008628,DID 6,007,SALA DE AULA,SALA DE AULA - DID 6 - 007,0,0,2026/2,True,active,3,12
1008629,DID 6,008,SALA DE AULA,SALA DE AULA - DID 6 - 008,50,40,2026/2,True,active,19,60
1008630,UNKNOWN,1008630,OUTRO,ESPACO_1008630,50,40,2026/2,False,no_schedule,0,0
1008631,DID 6,010,SALA DE AULA,SALA DE AULA - DID 6 - 010,50,40,2026/2,True,active,12,42
1008632,DID 6,011,LABORATORIO,DAVD - LABORATÓRIO DE PROJEÇÕES DE ARTES VISUAIS - DID 6 - 011,30,24,2026/2,True,active,9,34
1008633,DID 6,012,SALA DE AULA,SALA DE AULA - DID 6 - 012,50,40,2026/2,True,active,16,44
1008634,DID 6,013,SALA DE AULA,SALA DE AULA - DID 6 - 013,0,0,2026/2,True,active,1,4
1008635,DID 6,014,SALA DE AULA,SALA DE AULA - DID 6 - 014,50,40,2026/2,True,active,11,37
1008636,DID 6,015,SALA DE AULA,SALA DE AULA - DID 6 - 015,50,40,2026/2,True,active,17,58
1008637,DID 6,016,SALA DE AULA,SALA DE AULA - DID 6 - 016,50,40,2026/2,True,active,9,32
1008638,DID 6,017,SALA DE AULA,SALA DE AULA - DID 6 - 017,50,40,2026/2,True,active,12,36
1008639,DID 6,018,SALA DE AULA,SALA DE AULA - DID 6 - 018,50,40,2026/2,True,active,15,39
1008640,DID 6,102,SALA DE AULA,SALA DE AULA - DID 6 - 102,80,64,2026/2,True,active,7,24
1008641,DID 6,101,PROJECAO,DCOS - SALA DE PROJEÇÃO - DID 6 SALA 101,80,64,2026/2,True,active,4,16
1008642,DID 6,104,SALA DE AULA,SALA DE AULA - DID 6 - 104,80,64,2026/2,True,active,12,34
1008643,DID 6,103,SALA DE AULA,SALA DE AULA - DID 6 - 103,0,0,2026/2,True,active,1,12
1008644,DID 6,106,SALA DE AULA,SALA DE AULA - DID 6 - 106,80,64,2026/2,True,active,5,16
1008645,UNKNOWN,1008645,OUTRO,ESPACO_1008645,0,0,2026/2,False,no_schedule,0,0
1008646,DID 6,108,SALA DE AULA,SALA DE AULA - DID 6 - 108,50,40,2026/2,True,active,15,48
1008647,DID 6,107,SALA DE AULA,SALA DE AULA - DID 6 - 107,50,40,2026/2,True,active,10,26
1008648,DID 6,112,SALA DE AULA,SALA DE AULA - DID 6 - 112,50,40,2026/2,True,active,16,44
1008649,DID 6,109,SALA DE AULA,SALA DE AULA - DID 6 - 109,50,40,2026/2,True,active,13,38
1008650,DID 6,110,SALA DE AULA,SALA DE AULA - DID 6 - 110,50,40,2026/2,True,active,7,26
1008651,DID 6,111,SALA DE AULA,SALA DE AULA - DID 6 - 111,50,40,2026/2,True,active,14,36
1008652,DID 6,113,SALA DE AULA,SALA DE AULA - DID 6 - 113,50,40,2026/2,True,active,13,32
1008653,UNKNOWN,1008653,OUTRO,ESPACO_1008653,20,16,2026/2,False,no_schedule,0,0
1008654,UNKNOWN,1008654,OUTRO,ESPACO_1008654,20,16,2026/2,False,no_schedule,0,0
1008655,UNKNOWN,1008655,OUTRO,ESPACO_1008655,60,48,2026/2,False,no_schedule,0,0
1008656,UNKNOWN,1008656,OUTRO,ESPACO_1008656,30,24,2026/2,False,no_schedule,0,0
1008657,UNKNOWN,1008657,OUTRO,ESPACO_1008657,20,16,2026/2,False,no_schedule,0,0
1008658,DEC,001,SALA DE AULA,DEC - SALA DE AULA - 001,40,32,2026/2,True,active,6,28
1008659,DEC,LAB. DE GEOTECNIA E PAVIMENTAÇÃO,LABORATORIO,DEC - LAB. DE GEOTECNIA E PAVIMENTAÇÃO,25,20,2026/2,True,active,2,4
1008660,DEC,LABORATÓRIO DE INFORMÁTICA 01,LABORATORIO,DEC - LABORATÓRIO DE INFORMÁTICA 01,20,16,2026/2,True,active,8,34
1008661,DEC,SALA 02,LABORATORIO,DEC - LAB. DE TOPOGRAFIA E TRANSPORTES - SALA 02,55,44,2026/2,True,active,3,12
1008662,DEC,LABORATÓRIO DE HIDRÁULICA,LABORATORIO,DEC - LABORATÓRIO DE HIDRÁULICA,30,24,2026/2,True,active,1,4
1008663,DEC,SALA 01,LABORATORIO,DEC - LAB. DE TOPOGRAFIA E TRANSPORTES - SALA 01,30,24,2026/2,True,active,2,4
1008664,UNKNOWN,1008664,OUTRO,ESPACO_1008664,30,24,2026/2,False,no_schedule,0,0
1008665,DEQ,001,LABORATORIO,DEQ - LAB DE QUIMICA INDUSTRIAL - 001,25,20,2026/2,True,active,1,2
1008666,UNKNOWN,1008666,OUTRO,ESPACO_1008666,20,16,2026/2,False,no_schedule,0,0
1008667,DEQ,003,LABORATORIO,DEQ - LAB OPERACOES UNITARIAS - 003,20,16,2026/2,True,active,1,4
1008668,DEQ,004,LABORATORIO,DEQ - LAB DE FENOMENOS DE TRANSPORTE - 004,20,16,2026/2,True,active,1,4
1008669,UNKNOWN,1008669,OUTRO,ESPACO_1008669,20,16,2026/2,False,no_schedule,0,0
1008670,UNKNOWN,1008670,OUTRO,ESPACO_1008670,20,16,2026/2,False,no_schedule,0,0
1008671,UNKNOWN,1008671,OUTRO,ESPACO_1008671,20,16,2026/2,False,no_schedule,0,0
1008672,UNKNOWN,1008672,OUTRO,ESPACO_1008672,20,16,2026/2,False,no_schedule,0,0
1008673,UNKNOWN,1008673,OUTRO,ESPACO_1008673,15,12,2026/2,False,no_schedule,0,0
1008674,DEQ,010,LABORATORIO,DEQ - LAB DE BIOQUIMICA INDUSTRIAL - 010,15,12,2026/2,True,active,1,2
1008675,UNKNOWN,1008675,OUTRO,ESPACO_1008675,20,16,2026/2,False,no_schedule,0,0
1008676,UNKNOWN,1008676,OUTRO,ESPACO_1008676,20,16,2026/2,False,no_schedule,0,0
1008677,UNKNOWN,1008677,OUTRO,ESPACO_1008677,20,16,2026/2,False,no_schedule,0,0
1008678,UNKNOWN,1008678,OUTRO,ESPACO_1008678,20,16,2026/2,False,no_schedule,0,0
1008679,UNKNOWN,1008679,OUTRO,ESPACO_1008679,25,20,2026/2,False,no_schedule,0,0
1008680,UNKNOWN,1008680,OUTRO,ESPACO_1008680,10,8,2026/2,False,no_schedule,0,0
1008681,UNKNOWN,1008681,OUTRO,ESPACO_1008681,0,0,2026/2,False,no_schedule,0,0
1008682,UNKNOWN,1008682,OUTRO,ESPACO_1008682,20,16,2026/2,False,no_schedule,0,0
1008683,DQI,010,LABORATORIO,DQI - LAB ORGANICA - 010,20,16,2026/2,True,active,1,4
1008684,UNKNOWN,1008684,OUTRO,ESPACO_1008684,20,16,2026/2,False,no_schedule,0,0
1008685,DQI,006,LABORATORIO,DQI - LAB DE QUIMICA INORGÂNICA - 006,25,20,2026/2,True,active,12,32
1008686,UNKNOWN,1008686,OUTRO,ESPACO_1008686,20,16,2026/2,False,no_schedule,0,0
1008687,DQI,008,LABORATORIO,DQI - LAB FISICO-QUIMICA - 008,20,16,2026/2,True,active,8,17
1008688,UNKNOWN,1008688,OUTRO,ESPACO_1008688,0,0,2026/2,False,no_schedule,0,0
1008689,DQI,010,LABORATORIO,DQI - LAB QUIMICA ORGÂNICA - 010,10,8,2026/2,True,active,3,8
1008690,UNKNOWN,1008690,OUTRO,ESPACO_1008690,20,16,2026/2,False,no_schedule,0,0
1008691,DQI,012,LABORATORIO,DQI - LAB QUIMICA ANALIT QUANT EXPER - 012,30,24,2026/2,True,active,9,24
1008692,UNKNOWN,1008692,OUTRO,ESPACO_1008692,20,16,2026/2,False,no_schedule,0,0
1008693,UNKNOWN,1008693,OUTRO,ESPACO_1008693,20,16,2026/2,False,no_schedule,0,0
1008694,UNKNOWN,1008694,OUTRO,ESPACO_1008694,20,16,2026/2,False,no_schedule,0,0
1008695,UNKNOWN,1008695,OUTRO,ESPACO_1008695,0,0,2026/2,False,no_schedule,0,0
1008696,UNKNOWN,1008696,OUTRO,ESPACO_1008696,25,20,2026/2,False,no_schedule,0,0
1008697,UNKNOWN,1008697,OUTRO,ESPACO_1008697,25,20,2026/2,False,no_schedule,0,0
1008698,UNKNOWN,1008698,OUTRO,ESPACO_1008698,0,24,2026/2,False,no_schedule,0,0
1008699,DFI,002,SALA DE AULA,DFI - SALA DE AULA - 002,40,32,2026/2,True,active,3,8
1008700,UNKNOWN,1008700,OUTRO,ESPACO_1008700,0,8,2026/2,False,no_schedule,0,0
1008701,DFI,004,LABORATORIO,DFI - LABORATÓRIO DE FÍSICA MODERNA 1 - 004,15,12,2026/2,True,active,2,4
1008702,UNKNOWN,1008702,OUTRO,ESPACO_1008702,0,0,2026/2,False,no_schedule,0,0
1008703,UNKNOWN,1008703,OUTRO,ESPACO_1008703,0,0,2026/2,False,no_schedule,0,0
1008704,UNKNOWN,1008704,OUTRO,ESPACO_1008704,0,0,2026/2,False,no_schedule,0,0
1008705,UNKNOWN,1008705,OUTRO,ESPACO_1008705,0,20,2026/2,False,no_schedule,0,0
1008706,UNKNOWN,1008706,OUTRO,ESPACO_1008706,0,20,2026/2,False,no_schedule,0,0
1008707,UNKNOWN,1008707,OUTRO,ESPACO_1008707,0,0,2026/2,False,no_schedule,0,0
1008708,UNKNOWN,1008708,OUTRO,ESPACO_1008708,25,20,2026/2,False,no_schedule,0,0
1008709,DFI,014,LABORATORIO,DFI - LABORATÓRIO DE FÍSICA C / FÍSICA 2 - 014,25,20,2026/2,True,active,1,2
1008710,UNKNOWN,1008710,OUTRO,ESPACO_1008710,0,20,2026/2,False,no_schedule,0,0
1008711,UNKNOWN,1008711,OUTRO,ESPACO_1008711,0,0,2026/2,False,no_schedule,0,0
1008712,UNKNOWN,1008712,OUTRO,ESPACO_1008712,0,12,2026/2,False,no_schedule,0,0
1008713,DFI,018,LABORATORIO,DFI - LABORATÓRIO DE FÍSICA B / FÍSICA 2 - 018,25,20,2026/2,True,active,4,8
1008714,UNKNOWN,1008714,OUTRO,ESPACO_1008714,20,16,2026/2,False,no_schedule,0,0
1008715,DFI,27,SALA DE AULA,DFI - SALA DE AULA - PPGFI - 27,50,40,2026/2,True,active,3,10
1008716,DFI,021,LABORATORIO,DFI - LAB FIS COMPUT SALA - 021,20,16,2026/2,True,active,7,32
1008717,DFI,022,SALA DE AULA,DFI - SALA DE AULA  - 022,50,40,2026/2,True,active,9,36
1008718,UNKNOWN,1008718,OUTRO,ESPACO_1008718,60,48,2026/2,False,no_schedule,0,0
1008719,UNKNOWN,1008719,OUTRO,ESPACO_1008719,20,16,2026/2,False,no_schedule,0,0
1008720,UNKNOWN,1008720,OUTRO,ESPACO_1008720,20,16,2026/2,False,no_schedule,0,0
1008721,UNKNOWN,1008721,OUTRO,ESPACO_1008721,100,80,2026/2,False,no_schedule,0,0
1008722,AUDITÓRIO DO CCBS,005,AUDITORIO,AUDITÓRIO DO CCBS - 005,100,80,2026/2,True,active,10,25
1008723,UNKNOWN,1008723,OUTRO,ESPACO_1008723,50,40,2026/2,False,no_schedule,0,0
1008724,DBI BLOCO A,002,SALA DE AULA,SALA DE AULA - DBI BLOCO A - 002,25,20,2026/2,True,active,19,48
1008725,DBI BLOCO A,005,SALA DE AULA,SALA DE AULA - DBI BLOCO A - 005,25,20,2026/2,True,active,8,18
1008726,DBI BLOCO A,006,SALA DE AULA,SALA DE AULA - DBI BLOCO A - 006,30,24,2026/2,True,active,21,64
1008727,UNKNOWN,1008727,OUTRO,ESPACO_1008727,30,24,2026/2,False,no_schedule,0,0
1008728,UNKNOWN,1008728,OUTRO,ESPACO_1008728,10,8,2026/2,False,no_schedule,0,0
1008729,UNKNOWN,1008729,OUTRO,ESPACO_1008729,10,8,2026/2,False,no_schedule,0,0
1008730,DBI BLOCO B,002,SALA DE AULA,SALA DE AULA - DBI BLOCO B - 002,30,24,2026/2,True,active,18,51
1008731,UNKNOWN,1008731,OUTRO,ESPACO_1008731,0,0,2026/2,False,no_schedule,0,0
1008732,UNKNOWN,1008732,OUTRO,ESPACO_1008732,50,40,2026/2,False,no_schedule,0,0
